Bin_Edge,Histogram_1,Histogram_2,Histogram_3,Histogram_4
1.120759227,0.015826463,0.009552518,0.033017602,0.020296875
1.514908575,0.026377439,0.015920863,0.033017602,0.03805664
1.909057923,0.050996382,0.025473381,0.075468806,0.045667969
2.30320727,0.079132317,0.063683454,0.061318405,0.0811875
2.697356618,0.091441789,0.08278849,0.099052807,0.104021484
3.091505966,0.089683293,0.143287771,0.12971201,0.116707031
3.485655313,0.12133622,0.152840289,0.155654412,0.083724609
3.879804661,0.110785244,0.181497843,0.143862411,0.15983789
4.273954009,0.094958781,0.140103598,0.13914561,0.152226562
4.668103356,0.101992764,0.191050361,0.150937611,0.106558593
5.062252704,0.100234268,0.168761152,0.150937611,0.162374999
5.456402052,0.126611707,0.222892088,0.124995209,0.137003906
5.850551399,0.093200285,0.165576979,0.117920009,0.134466796
6.244700747,0.068581342,0.13055108,0.110844808,0.126855468
6.638850095,0.084407805,0.175129497,0.080185606,0.142078124
7.032999442,0.066822846,0.159208634,0.117920009,0.098947265
7.42714879,0.052754878,0.140103598,0.089619207,0.11924414
7.821298138,0.054513374,0.156024461,0.084902406,0.0811875
8.215447485,0.049237886,0.143287771,0.082544006,0.0811875
8.609596833,0.038686911,0.105077698,0.054243204,0.043130859
9.003746181,0.038686911,0.108261871,0.056601604,0.076113281
9.397895528,0.031652927,0.070051799,0.021225602,0.060890625
9.792044876,0.029894431,0.08278849,0.035376003,0.045667969
10.18619422,0.031652927,0.028657554,0.025942402,0.03805664
10.58034357,0.019343455,0.044578418,0.025942402,0.03805664
10.97449292,0.017584959,0.038210072,0.023584002,0.045667969
11.36864227,0.017584959,0.015920863,0.028300802,0.030445312
11.76279161,0.010550976,0.035025899,0.014150401,0.048205078
12.15694096,0.012309472,0.044578418,0.018867201,0.017759766
12.55109031,0.003516992,0.015920863,0.021225602,0.025371094
12.94523966,0,0.022289209,0.007075201,0.010148437
13.339389,0.001758496,0.019105036,0.0023584,0.010148437
13.73353835,0.003516992,0.015920863,0.007075201,0.012685547
14.1276877,0.007033984,0.025473381,0.0023584,0.010148437
14.52183705,0.003516992,0.003184173,0.007075201,0.007611328
14.9159864,0.001758496,0.003184173,0.0023584,0.002537109
15.31013574,0.001758496,0.009552518,0.007075201,0.005074219
15.70428509,0,0.003184173,0,0.002537109
16.09843444,0.001758496,0.009552518,0.0023584,0.002537109
16.49258379,0,0.003184173,0.0047168,0.005074219
16.88673313,0,0,0,0.005074219
17.28088248,0.001758496,0.006368345,0,0
17.67503183,0,0,0,0
18.06918118,0,0,0.0023584,0
18.46333052,0.001758496,0,0.0023584,0
18.85747987,0,0,0,0
19.25162922,0.001758496,0,0,0
19.64577857,0,0,0.0023584,0
20.03992791,0,0.003184173,0,0
20.43407726,0.001758496,0.003184173,0.0023584,0.002537109
